nombre,categoria,seccion,descripcion,dimensiones,imagen
FUM44,Artículos de fumador,Cenicero,Ceniceros cristal tallado redondos diferentes,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/FUM44/FUM44-720X540.png
M44,Mesa,Centro,Mesa japonesa centro nogal,100x65x40 (cm),https://atrezzovazquez.es/admin/img_prod/M44/M44-1-720x540.png
BYC44,Atrezzo de bar y cafetería,Bar y cafetería,Vasos cristal antiguo de cortadillo,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/BYC44/BYC43(BAR43-720x540).png
COL44,Atrezzo colegio,Colegio,Escuadras grandes madera antiguas,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/COL44/COL44-1-720x540.png
DES44,Atrezzo despacho,Despacho,Máquina de escribir electrica Olivetti Editor 3,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/DES44/DES44-720x540.png
BA44,Baño,Lavabo,Lavabo actual con pie sin grifos,63x49x68 (cm),https://atrezzovazquez.es/admin/img_prod/BA44/BA44-720x540.png
BEB44,Bebé,Descatalogado,,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/BEB44/LOGOTIPO VAZQUEZ- 720x540.png
CST44,Moda y costura,Máquinas de coser,Máquina de coser con mueble formica,44x78x115 (cm),https://atrezzovazquez.es/admin/img_prod/CST44/CST44-1-720x540.png
CRI44,Cristalería,Licoreras,Licorera cristal tallado tapón bellota.,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/CRI44/CRI44-720x540.png
MC44,Macetero,Jardín,Macetón de fibra forma copa dorado,40x40x48 (cm),https://atrezzovazquez.es/admin/img_prod/MC44/MC44-720x540.png
ME44,Mesilla,Dormitorio,Mesilla recta oscura puerta abatible,42x24x65 (cm),https://atrezzovazquez.es/admin/img_prod/ME44/ME44-1-720x540.png
REL44,Reloj,Cocina,Reloj de pared chapa verde redondo,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/REL44/REL44-720x540.png
TEL44,Telefonía,,Teléfono antiguo de mesa de oficina gris disco rojo,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/TEL44/TEL44-720x540.png
