nombre,categoria,seccion,descripcion,dimensiones,imagen
CHI12,Chimenea,,Pantalla de chimenea forja hierro cobrizada.,123x2x77 (cm),https://atrezzovazquez.es/admin/img_prod/CHI12/CHI12-720x540.png
CRI12,Cristalería,,Copas de champan cristal verde y hojas doradas.,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/CRI12/CRI12-720x540.png
MC12,Macetero,Columna,Columna de alabastro redonda,24x24x100 (cm),https://atrezzovazquez.es/admin/img_prod/MC12/MC12-1-720x540.png
ME12,Mesilla,Dormitorio,Mesilla blanca redonda con tapa tela,66x40x70 (cm),https://atrezzovazquez.es/admin/img_prod/ME12/ME12-1-720x540.png
VET12,Ventilador,,Ventilador de mesa aspas crema,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/VET12/VET12-720x540.png
REL12,Reloj,Salón,Reloj de pared madera talla modernista,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/REL12/REL12-720x540.png
TEL12,Telefonía,,Teléfono público verde,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/TEL12/TLF12-720x540.png
MYN12,Maletas y neceseres de viaje,Viaje,Maleta antigua fibra jaspeada borde marrón,50x35x25 (cm),https://atrezzovazquez.es/admin/img_prod/MYN12/MYN12-720x540.png
MYC12,Maletines y carteras,,Maletines grandes fibra negra,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MYC12/MYC12-720x540.png
LYR12,Libros y revistas,,Libros antiguos pergamino figurado,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/LYR12/LYR12-720x540.png
CDM12,Centro de mesa,Adorno,Centro de mesa cristal peana plateada,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/CDM12/CDM12-720x540.png
TOC12,Objetos de tocador,Tocador,Perfumadores antiguos de cristal con pera,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/TOC12/TOC12-720x540.png
VAJ12,Vajilla,Cocina,Platos cristal Duralex caramelo,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/VAJ12/VAJ12-720x540.png
JUG12,Juguetes,Juguete,Juego antiguo La Cucaracha con su caja,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/JUG12/JUG12-720x540.png
JAR12,Jarrones y jarras,Adorno,Jarra plateada alta,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/JAR12/JAR12-720x540.png
TYV12,Televisores y vídeos,Televisor,Televisión caja negra Saivod,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/TYV12/TYV12-720x540.png
MYS12,Tocadiscos y altavoces,Altavoces,Altavoces pequeños caja madera frontal rejilla,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MYS12/MYS12-720x540.png
TP12,Tapices y estandartes,Castillo,Repostero fieltro verde escudo central con fleco,175x0x200 (cm),https://atrezzovazquez.es/admin/img_prod/TP12/TP12-720x540.png
ML12,Librería,Americano,Librería despacho americana con ficheros persiana,192x41x200 (cm),https://atrezzovazquez.es/admin/img_prod/ML12/ML12-1-720x540.png
MED12,Atrezzo medicina,Hospital,Recipiente esterilizador,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MED12/MED12-720x540.png
HOS12,Hospitales,Hospital,Cama hospital tubo blanco fino,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/HOS12/HOS12-720x540.png
VAA12,Atrezzo vario,,Linternas,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/VAA12/VAA12-720x540.png
GRA12,Gramófonos y gramolas,Musica,Gramola-tocadiscos antiguo de maleta,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/GRA12/GRA12-720x540.png
AST12,Atrezzo astronomia,Óptica,Catalejo cuero y metal,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/AST12/AST12-720x540.png
SI12,Sillón,Frances,Sillón Luis XVI nogal tapizado tela flores,58x57x90 (cm),https://atrezzovazquez.es/admin/img_prod/SI12/SI12-1-720x540.png
RAD12,Radios,,Radio antigua grande caja madera Telefunken,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/RAD12/RAD12-720x540.png
JAM12,Jamuga,Medieval,Jamuga fija tallada asiento y respaldo terciopelo,67x57x93 (cm),https://atrezzovazquez.es/admin/img_prod/JAM12/JAM12-1-720x540.png
MV12,Muebles varios,Cubista,Mueble secreter cubista,50x37x136 (cm),https://atrezzovazquez.es/admin/img_prod/MV12/MV12-720X540.png
JAU12,Jaula,,Jaula de alambre cuadrada grande,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/JAU12/JAU12-720x540.png
JUE12,Juego,Futbolín,Futbolín rojo de juguete,93x52x75 (cm),https://atrezzovazquez.es/admin/img_prod/JUE12/JUE12-720x540.png
SIL12,Silla,Comedor,Silla isabelina negra tapizada damasco oro (diferentes),50x45x98 (cm),https://atrezzovazquez.es/admin/img_prod/SIL12/SIL12 (HAY 2) 720x540.png
MEC12,Mecedora,Curvado,Mecedora curvada de nogal y rejilla,49x110x90 (cm),https://atrezzovazquez.es/admin/img_prod/MEC12/MEC12-1-720x540.png
MOS12,Mostrador,Mercado,Mostrador rústico,135x60x87 (cm),https://atrezzovazquez.es/admin/img_prod/MOS12/MOS12-1-720x540.png
S12,Sofá,Frances,Sofá Luis XV nogal tapizado tela flores,155x60x93 (cm),https://atrezzovazquez.es/admin/img_prod/S12/S12-1-720x540.png
ILU12,Iluminación,,Cuadro de luz negro antiguo con cuchillas,120x15x90 (cm),https://atrezzovazquez.es/admin/img_prod/ILU12/ILU12-720x540.png
PV12,Pie de vela,Descatalogado,Descatalogado,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/PV12/LOGOTIPO VAZQUEZ- 720x540.png
SEC12,Secreter,Descatalogado,Mueble secreter madera raíz,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/SEC12/LOGOTIPO VAZQUEZ- 720x540.png
VI12,Vitrina,,Vitrina de pared caoba estrecha,100x20x130 (cm),https://atrezzovazquez.es/admin/img_prod/VI12/VI12-720x540.png
PEL12,Peluquería,,Sillones de barbería antiguos reclinables de hierro tapizados skay corinto,62x55x115 (cm),https://atrezzovazquez.es/admin/img_prod/PEL12/PEL12-1-720x540.png
PER12,Perchero,Americano,Perchero de pie curvado nogal,50x50x185 (cm),https://atrezzovazquez.es/admin/img_prod/PER12/PER12-720x540.png
SR12,Silla de ruedas,Hospit,Silla de ruedas antigua de madera y rejilla,75x100x126 (cm),https://atrezzovazquez.es/admin/img_prod/SR12/SR12-1-720x540.png
PC12,Pizarra,Colegio,Pizarra de colegio marco chapa pintado,125x7x90 (cm),https://atrezzovazquez.es/admin/img_prod/PC12/PC12-720x540.png
CAM12,Cámara fotos y vídeo,Cámaras de fotos,Cámara de fotos antigua KODAK INSTAMATIC,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/CAM12/CAM12-720x540.png
JUZ12,Juzgado,Juzgados,Mazo de juez torneado con su tabla redonda,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/JUZ12/JUZ12-720x540.png
QIN12,Quinqués,,Quinqué imperio faunos,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/QIN12/QIN12-720x540.png
MOU12,Mobiliario urbano,Calle,Carro de cartero amarillo con escudo blanco,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MOU12/MOU12-1-720x540.png
ARA12,Atrezzo Árabe,Arabe,Bandeja árabe metal grabado con patas plegables,70x70x47 (cm),https://atrezzovazquez.es/admin/img_prod/ARA12/ARA12-1-720x540.png
CARR12,Carretilla,Tienda,Carro de supermercado varilla,95x60x105 (cm),https://atrezzovazquez.es/admin/img_prod/CARR12/CARR12-720x540.png
PAP12,Papelera,,Papelera laminada de aluminio,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/PAP12/PAP12-720x540.png
FIG12,Figuras,Adorno,Figura de escayola jaspeada hombre años 80,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/FIG12/FIG12-720x540.png
PLA12,Playa,Camping,Sillón de camping plegable tela rayas,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/PLA12/PLA12-720x540.png
REG12,Religión,Cruces,Crucifijo de mesa,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/REG12/REG12-720x540.png
RU12,Rural,,Caldero de cobre con asa central,65x65x30 (cm),https://atrezzovazquez.es/admin/img_prod/RU12/RU12-1-720x540.png
ALA13,Alacena,Cocina,Alacena de cocina metálica,92x38x170 (cm),https://atrezzovazquez.es/admin/img_prod/ALA13/ALA13-1-720x540.png
ALF13,Alfombra,Arabe,Alfombra persa roja y crema,290x200x1 (cm),https://atrezzovazquez.es/admin/img_prod/ALF13/ALF13-720x540.png
AFC13,Alfombra de cama,Arabe,Alfombrín de cama persa rojo,100x50x1 (cm),https://atrezzovazquez.es/admin/img_prod/AFC13/AFC13-720x540.png
AP13,Aparador,Comedor,"Vitrina aparador modernista a juego AP012, mal estado.",106x30x90 (cm),https://atrezzovazquez.es/admin/img_prod/AP13/AP13-720x540.png
ARC13,Arcon,Arabe,Arcón árabe tapa forma forrado terciopelo rojo y oro,118x50x72 (cm),https://atrezzovazquez.es/admin/img_prod/ARC13/ARC13-1-720x540.png
AR13,Armario,Descatalogado,Descatalogado,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/AR13/LOGOTIPO VAZQUEZ- 720x540.png
ATR13,Atril,,Atril nogal columnas torneadas,47x40x137 (cm),https://atrezzovazquez.es/admin/img_prod/ATR13/ATR13-1-720x540.png
BAC13,Banco,Arabe,Banco árabe con palos torneados,160x50x105 (cm),https://atrezzovazquez.es/admin/img_prod/BAC13/BAC13-1-720x540.png
BAN13,Banqueta,Dormitorio,Banqueta tapizada verde,100x37x40 (cm),https://atrezzovazquez.es/admin/img_prod/BAN13/BAN13-1-720x540.png
M13,Mesa,Auxiliar,Mesa alta estilo español con hierros,100x40x94 (cm),https://atrezzovazquez.es/admin/img_prod/M13/M13-1-720X540.png
BA13,Baño,Bañera,Bañera de cinc redonda forma,85x85x78 (cm),https://atrezzovazquez.es/admin/img_prod/BA13/BA13-1-720x540.png
BAU13,Baul,Almacenaje,Baúl tapa forma chapa tiras madera,62x43x49 (cm),https://atrezzovazquez.es/admin/img_prod/BAU13/BAU13-1-720x540.png
BEB13,Bebé,Descatalogado,,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/BEB13/LOGOTIPO VAZQUEZ- 720x540.png
ESC13,Escaleras,Rústico,Escalera de troncos,60x10x240 (cm),https://atrezzovazquez.es/admin/img_prod/ESC13/ESC13-720x540.png
BIO13,Biombo,Dormitorio,Biombo 3 hojas tapizado tela rayas y figuras,135x5x145 (cm),https://atrezzovazquez.es/admin/img_prod/BIO13/BIO13-720x540.png
CAB13,Caballete,Pintor,Caballete de pintor negro 3 pies,60x60x143 (cm),https://atrezzovazquez.es/admin/img_prod/CAB13/CAB13-720x540.png
CAR13,Caja registradora,Tienda,Caja registradora con cajón Gold,40x43x30 (cm),https://atrezzovazquez.es/admin/img_prod/CAR13/CAR13-720x540.png
CAJ13,Caja,Almacenaje,Cajas de madera de embalaje diferentes,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/CAJ13/CAJ13-720x540.png
CA13,Cama,Dormitorio,Cabecero de cama tubo metal liso,140x8x118 (cm),https://atrezzovazquez.es/admin/img_prod/CA13/CA13-720x540.png
REC13,Reclinatorio,Iglesia,Reclinatorio recto tapizado damasco rojo,53x47x90 (cm),https://atrezzovazquez.es/admin/img_prod/REC13/REC13-1-720x540.png
CSE13,Carro de servicio,Cocina,Carro de servicio plegable blanco y amarillo,65x43x70 (cm),https://atrezzovazquez.es/admin/img_prod/CSE13/CSE13-1-720x540.png
CO13,Cocinas,Electrodomestico,Placa de cocina mixta 4 fuegos con mandos,34x45x10 (cm),https://atrezzovazquez.es/admin/img_prod/CO13/CO13-720x540.png
COM13,Comoda,Dormitorio,Cómoda isabelina nogal 3 cajones,125x52x97 (cm),https://atrezzovazquez.es/admin/img_prod/COM13/COM-13-2-720x540.png
CON13,Consola,Recibidor,Consola nogal tallada 8 patas salomónica,162x51x90 (cm),https://atrezzovazquez.es/admin/img_prod/CON13/CON13-1-720x540.png
CU13,Cuadro,Desnudo,Cuadro marco ancho madera fotografía desnudo (Tiziano),235x10x180 (cm),https://atrezzovazquez.es/admin/img_prod/CU13/CU13-720x540.png
ANU13,Carteles y anuncios,Tienda,Cartel chapa jabón,15x1x15 (cm),https://atrezzovazquez.es/admin/img_prod/ANU13/ANU13-720x540.png
ESP13,Espejo,Bar y cafetería,Cristal con papel orla con marco color,73x15x118 (cm),https://atrezzovazquez.es/admin/img_prod/ESP13/ESP13-720x540.png
ES13,Estanteria,Rústico,Estantería de suelo de tabla pino,37x24x120 (cm),https://atrezzovazquez.es/admin/img_prod/ES13/ES13-1-720x540.png
EST13,Estufa,Calefaccion,Estufa de butano crema Superser,37x42x70 (cm),https://atrezzovazquez.es/admin/img_prod/EST13/EST13-1-720x540.png
ESTAT13,Estatua,,Estatua Tótem de fibra oscuro,42x42x240 (cm),https://atrezzovazquez.es/admin/img_prod/ESTAT13/ESTAT13-1-720x540.png
GN13,Galan de noche,Dormitorio,Galán de noche tubo niquelado y madera,53x40x112 (cm),https://atrezzovazquez.es/admin/img_prod/GN13/GN13-1-720x540.png
AGU13,Aguamaniles,Dormitorio,Aguamanil loza blanco con flores rosas,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/AGU13/AGU13-720x540.png
F13,Fichero,Americano,Fichero madera claro de persiana,50x41x150 (cm),https://atrezzovazquez.es/admin/img_prod/F13/F13-1-720x540.png
MUS13,Instrumentos musicales,Musica,Piano de pared auténtico nogal,162x82x100 (cm),https://atrezzovazquez.es/admin/img_prod/MUS13/MUS13-1-720x540.png
ADO13,Adornos,Salón,Adorno pared madera recuerdo ciudades,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/ADO13/ADO13-720x540.png
DPT13,Deporte,Gimnasio,Banco de gimnasia skay negro,81x112x132 (cm),https://atrezzovazquez.es/admin/img_prod/DPT13/GIM14-1-720x540.png
LAM13,Lámpara,Lámpara de mesa,Lámpara de mesa columna fina hierro,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/LAM13/LAM13-720x540.png
FUM13,Artículos de fumador,Cenicero,Cenicero grande madera y acero,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/FUM13/FUM13-720x540.png
CDM13,Centro de mesa,Adorno,Centro de mesa de cristal rayas colores,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/CDM13/CDM13-720x540.png
ASP13,Aspiradoras,Electrodomestico,Aspiradora redonda acero Electrolux,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/ASP13/ASP13-720x540.png
AZP13,Azulejos y platos de pared,Decoración,Azulejos con refranes diferentes,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/AZP13/AZP13-720x540.png
BAD13,Bandejas,Bar y cafetería,Bandejas de camarero antiguas grabadas,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/BAD13/BAD13-720x540.png
BYC13,Atrezzo de bar y cafetería,Bar y cafetería,Botellas de cristal de vino italianas antiguas,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/BYC13/BYC13(BAR13-720x540).png
COL13,Atrezzo colegio,Colegio,Cartera colegio skay negro con dibujo,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/COL13/COL13-720x540.png
DES13,Atrezzo despacho,Despacho,Escribanía metal grabado 2 tinteros,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/DES13/DES13-720x540.png
ARM13,Armero,Medieval,Panoplia grande forrada roja con medio yelmo y espadas,100x120x20 (cm),https://atrezzovazquez.es/admin/img_prod/ARM13/ARM13-720x540.png
BAS13,Bascula,Mercado,Balanza de suelo con pie de hierro y 2 platos,110x40x126 (cm),https://atrezzovazquez.es/admin/img_prod/BAS13/BAS13-1-720x540.png
BRA13,Brasero,Calefaccion,Brasero eléctrico mesa camilla niquelado,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/BRA13/BRA13-720x540.png
BRL13,Barril,Bidón,Bidón de chapa pequeño con asas,30x30x50 (cm),https://atrezzovazquez.es/admin/img_prod/BRL13/BRL13-720x540.png
CST13,Moda y costura,Costurero,Costurero de mimbre,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/CST13/CST13-720x540.png
CHI13,Chimenea,,Pantalla de chimenea forja hierro remate bola metal.,119x18x60 (cm),https://atrezzovazquez.es/admin/img_prod/CHI13/CHI13-720x540.png
CRI13,Cristalería,,Copas de coctel de cristal.,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/CRI13/CRI13-720x540.png
MC13,Macetero,Comedor,Macetero nogal 4 columnas torneadas,33x33x114 (cm),https://atrezzovazquez.es/admin/img_prod/MC13/MC13-1-720x540.png
ME13,Mesilla,Dormitorio,Mesilla inglesa caoba 1 cajón y puertas,64x43x60 (cm),https://atrezzovazquez.es/admin/img_prod/ME13/ME13-1-720x540.png
VET13,Ventilador,,Ventilador de mesa aspas grises,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/VET13/VET13-720x540.png
REL13,Reloj,Salón,Reloj de pared nogal esfera cuadrada con péndulo,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/REL13/REL13-720x540.png
TEL13,Telefonía,,Teléfono publico verde,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/TEL13/TLF13-720x540.png
MYN13,Maletas y neceseres de viaje,Viaje,Maleta fibra azul,70x45x25 (cm),https://atrezzovazquez.es/admin/img_prod/MYN13/MYN13-720x540.png
MYC13,Maletines y carteras,,Maletines ejecutivo skay,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MYC13/MYC13-720x540.png
LYR13,Libros y revistas,,Novelas,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/LYR13/LYR13-720x540.png
TOC13,Objetos de tocador,Tocador,Polveras de cartón antiguas,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/TOC13/TOC13-720x540.png
VAJ13,Vajilla,Cocina,Platos cristal Duralex transparente,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/VAJ13/VAJ13-720x540.png
JUG13,Juguetes,Juguete,Juego Lumirama antiguo con su caja,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/JUG13/JUG13-720x540.png
JAR13,Jarrones y jarras,Adorno,Jarra plateada alta con tapa,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/JAR13/JAR13-720x540.png
MYS13,Tocadiscos y altavoces,Altavoces,Altavoces pequeños caja madera frontal rejilla plástico,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MYS13/MYS13-720x540.png
TP13,Tapices y estandartes,Palacio,Repostero raso crema con flores de lys y escudo real bordado,360x0x340 (cm),https://atrezzovazquez.es/admin/img_prod/TP13/TP13-720x540.png
ML13,Librería,Americano,LIBRERÍA DESPACHO AMERICANA PARTE CENTRAL VITRINA,215x42x200 (cm),https://atrezzovazquez.es/admin/img_prod/ML13/ML13-720x540.png
MED13,Atrezzo medicina,Hospital,Cajas esterilazadoras de acero antiguas,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MED13/MED13-720x540.png
HOS13,Hospitales,Camillas,CAMILLA HIERRO NEGRA CON ESTRIBOS,185x60x80 (cm),https://atrezzovazquez.es/admin/img_prod/HOS13/HOS13-1-720x540.png
VAA13,Atrezzo vario,,Llave grande antigua de hierro,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/VAA13/VAA13-720x540.png
AST13,Atrezzo astronomia,Astronomía,Telescopio plegables con su maleta,70x70x130 (cm),https://atrezzovazquez.es/admin/img_prod/AST13/AST13-1-720x540.png
SI13,Sillón,Imperio,Sillón imperio blanco y oro tapizado damasco morado,58x49x89 (cm),https://atrezzovazquez.es/admin/img_prod/SI13/SI13-1-720x540.png
RAD13,Radios,,Radio antigua nogal con tocadiscos,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/RAD13/RAD13-720x540.png
JAM13,Jamuga,Medieval,Jamuga de hierro y bolas metal asiento tiras cuero,65x45x70 (cm),https://atrezzovazquez.es/admin/img_prod/JAM13/JAM13 (HAY 5) 720x540.png
MV13,Muebles varios,Descatalogado,,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MV13/LOGOTIPO VAZQUEZ- 720x540.png
JAU13,Jaula,,Jaula de alambre con adornos flores,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/JAU13/JAU13-720x540.png
JUE13,Juego,,Juego de la rana de hierro verde,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/JUE13/JUE13-1-720x540.png
SIL13,Silla,Imperio,Silla imperio blanca y oro tapizada damasco morado,50x44x87 (cm),https://atrezzovazquez.es/admin/img_prod/SIL13/SIL13-1-720x540.png
MEC13,Mecedora,Mimbre,Mecedora de mimbre,52x84x85 (cm),https://atrezzovazquez.es/admin/img_prod/MEC13/MEC13-1-720x540.png
MOS13,Mostrador,,Ventanilla de banco antiguo de madera,278x54x95 (cm),https://atrezzovazquez.es/admin/img_prod/MOS13/MOS13-1-720x540.png
TYV13,Televisores y vídeos,Televisor,"Televisión caja gris Samsung 28""",78x55x60 (cm),https://atrezzovazquez.es/admin/img_prod/TYV13/TYV13-720x540.png
S13,Sofá,Imperio,Sofá imperio blanco y oro tapizado damasco,145x55x89 (cm),https://atrezzovazquez.es/admin/img_prod/S13/S13-1-720x540.png
ILU13,Iluminación,Calle,Farol de calle con palomilla grabada,34x70x70 (cm),https://atrezzovazquez.es/admin/img_prod/ILU13/ILU013__MOU022_-removebg-preview.png
PV13,Pie de vela,Antorchero,Antorchero de suelo 3 luces,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/PV13/PV13-720x540.png
SEC13,Secreter,Dormitorio,Secreter nogal con estantes,100x35x145 (cm),https://atrezzovazquez.es/admin/img_prod/SEC13/SEC13-1-720x540.png
VI13,Vitrina,,Vitrina de pared oscura 2 puertas,107x40x130 (cm),https://atrezzovazquez.es/admin/img_prod/VI13/VI13-720x540.png
PEL13,Peluquería,,Mostrador de peluquería tubo negro y formica con cajones,200x38x85 (cm),https://atrezzovazquez.es/admin/img_prod/PEL13/PEL13-1-720x540.png
PER13,Perchero,Americano,Perchero de pie curvado claro,50x50x190 (cm),https://atrezzovazquez.es/admin/img_prod/PER13/PER13-720x540.png
SR13,Silla de ruedas,Descatalogado,Descatalogado,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/SR13/LOGOTIPO VAZQUEZ- 720x540.png
PC13,Pizarra,Colegio,Pizarra de colegio marco madera con pie,120x51x170 (cm),https://atrezzovazquez.es/admin/img_prod/PC13/PC13-2-720x540.png
CAM13,Cámara fotos y vídeo,Cámaras de fotos,cámara de fotos antigua Optima AGFA,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/CAM13/CAM13-720x540.png
CEM13,Cementerio,Cruces,Cruz de cementerio figurada piedra,68x24x163 (cm),https://atrezzovazquez.es/admin/img_prod/CEM13/CEM13-720x540.png
JUZ13,Juzgado,Juzgados,Mazo de juez torneado claro con su tabla redonda,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/JUZ13/JUZ13-720x540.png
QIN13,Quinqués,,Quinqué metal depósito bola,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/QIN13/QIN13-720x540.png
MOU13,Mobiliario urbano,Descatalogado,,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MOU13/LOGOTIPO VAZQUEZ- 720x540.png
ARA13,Atrezzo Árabe,Descatalogado,,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/ARA13/LOGOTIPO VAZQUEZ- 720x540.png
CARR13,Carretilla,Tienda,Carro de limpieza gris,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/CARR13/CARR13-1-720x540.png
PAP13,Papelera,,Papelera de paja trenzada,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/PAP13/PAP13-720x540.png
FIG13,Figuras,Adorno,Figura de escayola mujer con niño,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/FIG13/FIG13-720x540.png
PLA13,Playa,Camping,Sillón de camping plegable tela flores,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/PLA13/PLA13-1-720x540.png
REG13,Religión,Cruces,Crucifijo de pared damasco rojo y plata con pililla,29x5x48 (cm),https://atrezzovazquez.es/admin/img_prod/REG13/REG13-720x540.png
RU13,Rural,Rústico,Piedra de afilar con pie madera,90x50x95 (cm),https://atrezzovazquez.es/admin/img_prod/RU13/RU13-1-720x540.png
ALA14,Alacena,Cocina,Alacena cuarterones tallados,121x61x186 (cm),https://atrezzovazquez.es/admin/img_prod/ALA14/ALA14-2-720x540.png
ALF14,Alfombra,Comedor,Alfombra flores colores,200x140x1 (cm),https://atrezzovazquez.es/admin/img_prod/ALF14/ALF14-720x540.png
AFC14,Alfombra de cama,Dormitorio,Alfombrín de cama moqueta verde,98x50x1 (cm),https://atrezzovazquez.es/admin/img_prod/AFC14/AFC14-720x540.png
AP14,Aparador,Comedor,Aparador caoba 1900 2 cuerpos con tapa mármol,115x55x220 (cm),https://atrezzovazquez.es/admin/img_prod/AP14/AP14-720x540.png
ARC14,Arcon,Rústico,Arcón liso pino con patas,115x62x74 (cm),https://atrezzovazquez.es/admin/img_prod/ARC14/ARC14-1-720x540.png
AR14,Armario,Dormitorio,Armario nogal 1 puerta,67x57x176 (cm),https://atrezzovazquez.es/admin/img_prod/AR14/AR14-1-720x540.png
ATR14,Atril,Iglesia,Atril de mesa o de altar de madera pintado oro,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/ATR14/ATR14-720x540.png
BAC14,Banco,Rústico,Banco arca rústico madera,130x55x100 (cm),https://atrezzovazquez.es/admin/img_prod/BAC14/BAC14-1-720x540.png
BAN14,Banqueta,,Banqueta tapizado marrón con fleco,58x43x35 (cm),https://atrezzovazquez.es/admin/img_prod/BAN14/BAN14-1-720x540.png
M14,Mesa,Auxiliar,Mesa estilo español patas salomónicas,84x53x69 (cm),https://atrezzovazquez.es/admin/img_prod/M14/M14-1-720X540.png
BA14,Baño,Lavabo,Lavabo antiguo 2 grifos con pie,64x48x88 (cm),https://atrezzovazquez.es/admin/img_prod/BA14/BA14-1-720x540.png
BAU14,Baul,Descatalogado,Descatalogado,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/BAU14/LOGOTIPO VAZQUEZ- 720x540.png
REC14,Reclinatorio,Enea,Reclinatorio oscuro palos torneado y enea,44x38x88 (cm),https://atrezzovazquez.es/admin/img_prod/REC14/REC14-1-720x540.png
BEB14,Bebé,Descatalogado,,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/BEB14/LOGOTIPO VAZQUEZ- 720x540.png
ESC14,Escaleras,Tienda,Escalera de 2 subidas de madera baja,58x40x82 (cm),https://atrezzovazquez.es/admin/img_prod/ESC14/ESC14-1-720x540.png
BIO14,Biombo,Dormitorio,Biombo 3 hojas tapizado skay marrón,150x5x160 (cm),https://atrezzovazquez.es/admin/img_prod/BIO14/BIO14-1-720x540.png
CAB14,Caballete,Pintor,Caballete de estudio plegable pintado,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/CAB14/CAB14-1-720x540.png
CAR14,Caja registradora,Calculadoras,Calculadora con manivela y con cajón,32x42x25 (cm),https://atrezzovazquez.es/admin/img_prod/CAR14/CAR14-720x540.png
CA14,Cama,Dormitorio,Cabecero para cama de 120 tapizado azul.,150x6x85 (cm),https://atrezzovazquez.es/admin/img_prod/CA14/CA14-720x540.png
